participant_id,group,timestamp_local_raw,gender,major,years_programming,education_level,studied_frontend,general_suggestion,timestamp_utc,timestamp_utc_iso
baseline001,baseline,2025/09/09 4:29:57 PM GMT+8,Male,Computer Science and Technology,1–2 years,Undergraduate – Year 3 (Junior),Yes,,2025-09-09 08:29:57+00:00,2025-09-09T08:29:57Z
baseline0010,baseline,2025/09/11 2:10:25 PM GMT+8,male,software engineering,2–4 years,Undergraduate – Year 3 (Junior),Yes,"You can drag and drop to adjust the size of each part, making it more convenient to use a certain part",2025-09-11 06:10:25+00:00,2025-09-11T06:10:25Z
baseline0011,baseline,2025/09/11 12:41:03 PM GMT+8,Male,Computer Science and Technology,1–2 years,Undergraduate – Year 3 (Junior),Yes,No,2025-09-11 04:41:03+00:00,2025-09-11T04:41:03Z
baseline0012,baseline,2025/09/11 12:47:09 PM GMT+8,Male,Computer Science and Technology,6 months to 1 year,Undergraduate – Year 3 (Junior),Yes,,2025-09-11 04:47:09+00:00,2025-09-11T04:47:09Z
baseline0013,baseline,2025/09/11 1:42:54 PM GMT+8,male,computer sciens and technology,2–4 years,Undergraduate – Year 3 (Junior),Yes,,2025-09-11 05:42:54+00:00,2025-09-11T05:42:54Z
baseline003,baseline,2025/09/09 4:23:00 PM GMT+8,male,Computer Science and Technology,2–4 years,Postgraduate or higher,Yes,,2025-09-09 08:23:00+00:00,2025-09-09T08:23:00Z
baseline004,baseline,2025/09/10 1:21:52 AM GMT+8,Male,Big Data Technology and Science,2–4 years,Undergraduate – Year 3 (Junior),Yes,"对已经学习的部分可以做出标记,知识点部分可以做到完全展开 对知识点区域的代码排版",2025-09-09 17:21:52+00:00,2025-09-09T17:21:52Z
baseline005,baseline,2025/09/10 8:44:36 AM GMT+8,Male,Data Science and Big Data Technology,2–4 years,Undergraduate – Year 3 (Junior),Yes,"Very good webpage, which cleverly integrates AI into programming. There are some problems, but it does not prevent it from being a novel webpage.",2025-09-10 00:44:36+00:00,2025-09-10T00:44:36Z
baseline006,baseline,2025/09/11 1:26:52 PM GMT+8,male,Computer Science and Technology,6 months to 1 year,Undergraduate – Year 2 (Sophomore),No,No suggestions,2025-09-11 05:26:52+00:00,2025-09-11T05:26:52Z
baseline007,baseline,2025/09/10 12:11:40 AM GMT+8,male,computer science and technology,2–4 years,Postgraduate or higher,Yes,Additional questions can be added appropriately to consolidate the learned content,2025-09-09 16:11:40+00:00,2025-09-09T16:11:40Z
baseline008,baseline,2025/09/10 12:38:51 AM GMT+8,male,Computer Science and Technology,2–4 years,Postgraduate or higher,Yes,No,2025-09-09 16:38:51+00:00,2025-09-09T16:38:51Z
baseline009,baseline,2025/09/10 1:04:58 AM GMT+8,male,Computer Science and Technology,6 months to 1 year,Undergraduate – Year 1 (Freshman),No,Keep going,2025-09-09 17:04:58+00:00,2025-09-09T17:04:58Z
exp0010,exp,2025/09/11 9:34:09 AM GMT+8,Male,Data Science and Big Data Technology,Less than 6 months,Undergraduate – Year 3 (Junior),Yes,no,2025-09-11 01:34:09+00:00,2025-09-11T01:34:09Z
exp0011,exp,2025/09/11 12:56:25 PM GMT+8,Male,Computer Science and Technology,1–2 years,Undergraduate – Year 3 (Junior),Yes,,2025-09-11 04:56:25+00:00,2025-09-11T04:56:25Z
exp00121,exp,2025/09/11 1:20:59 AM GMT+8,male,Computer Technology,4–8 years,Postgraduate or higher,Yes,Optimize loading,2025-09-10 17:20:59+00:00,2025-09-10T17:20:59Z
exp0013,exp,2025/09/11 4:05:37 PM GMT+8,Female,Computer Science and Technology,1–2 years,Undergraduate – Year 2 (Sophomore),No,"1. It might be a bit challenging to achieve, but I wonder if it's possible to add more theme colors so that users can have more interactive functions. Then the page colors would look more personalized and cheerful. 
2. On the knowledge graph, I hope to add a small crown on the module to indicate that ""this module has been completed"", so that users can experience the same sense of joy as completing a level.",2025-09-11 08:05:37+00:00,2025-09-11T08:05:37Z
exp0014,exp,2025/09/11 12:36:14 PM GMT+8,female,computer Science,2–4 years,Undergraduate – Year 3 (Junior),Yes,"Overall, all modules are useful, but they could benefit from stronger integration with each other. For example, combining the Interest-based Generation Module with the Progressive Knowledge Unfolding Module would create a more personalized and structured learning path. Adding a feature to track progress and recommend next steps across modules would also improve the learning experience.",2025-09-11 04:36:14+00:00,2025-09-11T04:36:14Z
exp003,exp,2025/09/09 5:45:36 PM GMT+8,male,Computer Science and Technology,1–2 years,Undergraduate – Year 3 (Junior),No,No,2025-09-09 09:45:36+00:00,2025-09-09T09:45:36Z
exp004,exp,2025/09/09 5:11:39 PM GMT+8,male,Computer Science and Technology,2–4 years,Undergraduate – Year 3 (Junior),Yes,"Currently, I find the user experience quite satisfactory and have no further suggestions for improvement beyond those mentioned above.",2025-09-09 09:11:39+00:00,2025-09-09T09:11:39Z
exp005,exp,2025/09/11 3:30:47 PM GMT+8,male,computer science and technology,1–2 years,Undergraduate – Year 3 (Junior),Yes,"I personally suggest combining chapter titles with the progressive knowledge expansion module instead of placing them in the upper left corner of the learning webpage, or appropriately changing the tone of the webpage when the chapter changes to let users clearly know they have entered the next chapter.Is it possible for the exploration module to display all related codes, including CSS, for the selected portion?",2025-09-11 07:30:47+00:00,2025-09-11T07:30:47Z
exp006,exp,2025/09/11 3:56:30 PM GMT+8,male,Data Science and Big Data Technology,6 months to 1 year,Undergraduate – Year 2 (Sophomore),No,,2025-09-11 07:56:30+00:00,2025-09-11T07:56:30Z
exp007,exp,2025/09/11 12:37:40 AM GMT+8,male,计算机科学与技术,Less than 6 months,Postgraduate or higher,No,no,2025-09-10 16:37:40+00:00,2025-09-10T16:37:40Z
exp009,exp,2025/09/11 12:19:02 AM GMT+8,Male,English,Less than 6 months,Undergraduate – Year 4 (Senior),No,,2025-09-10 16:19:02+00:00,2025-09-10T16:19:02Z
exp015,exp,2025/09/11 12:23:52 AM GMT+8,female,computer science and technology,6 months to 1 year,Undergraduate – Year 3 (Junior),Yes,"Allow collaborative features where learners can compare insights, code, or exploration paths with peers.",2025-09-10 16:23:52+00:00,2025-09-10T16:23:52Z
